"","GF_T10i","GF_T11r","GF_T13i","GF_T15i","GF_T16r","GF_T17i","GF_T18r","GF_T4i","GF_T5r","GF_T6i","GF_T7r","GF_T8i","GF_T9r"
"1972",NA,0.85121998178492,0.712756227470813,NA,0.696687840290381,0.996292783860678,1.22981869000772,0.93831527029658,0.210799352085854,NA,0.965098507794481,0.867677897785127,0.755889626448002
"1973",NA,1.14609472842803,1.06138699090762,NA,1.0497391107078,1.55496163462367,1.1827442903902,0.960802128626128,0.249883655153962,NA,1.08414149554006,0.955915626966777,1.16998568267604
"1974",NA,1.03859693006057,1.12336579329639,NA,0.866152450090744,1.53168376584188,1.38575263874076,1.22246738918814,0.217557819631476,NA,1.36049128852085,1.05773514981019,1.15026682285566
"1975",NA,0.866807426884637,0.674019475977834,NA,0.852030399274047,1.41994999568928,0.835570593210989,0.82179245895256,0.441825550416634,NA,0.820546308389141,0.779833835711228,0.565273981517636
"1976",NA,0.817510631979867,0.58879862269328,NA,0.498979128856624,1.14527114406414,0.979735942039646,1.00782010513336,0.635371695697456,NA,1.01611693111401,0.908784549076764,0.545555121697254
"1977",NA,0.800304411165945,0.511325119707322,NA,0.418954174228675,0.865936718682645,0.853223493067559,1.06301512103316,0.265491355761799,NA,0.863061661155417,0.807151402937974,0.499544448783027
"1978",NA,1.31195918553701,0.786356055307473,NA,0.630784936479129,1.44322786447108,1.21216579015115,1.08345771951457,0.230856406868385,NA,0.965098507794481,0.902218233985717,0.847910972276455
"1979",NA,1.14585444103715,0.612040673589068,NA,0.517808529945553,1.4851280282783,0.750248243904233,0.862677655915374,0.351186191435321,NA,0.943840831411343,0.719147119078164,0.690160093713393
"1980",0.87686294029807,1.06442296710283,0.786356055307473,NA,0.701395190562613,1.35477196310027,1.08271119120297,1.01190862482964,0.197804476588716,NA,1.1521660599661,1.03135313861687,1.07139138357412
"1981",0.898047338247114,1.00048018853546,0.739871953515898,NA,0.588418784029038,1.24303819294767,1.11801699091611,0.999643065740801,0.320771190980544,NA,1.01186539583739,1.05183456392897,0.828192112456072
"1982",1.12549974461486,1.31108244188306,0.728250928068005,NA,0.795542196007259,1.48047245452194,1.4799014379758,1.10798883769226,0.284388430108933,NA,1.2286936949454,0.834781451153215,1.55778992581023
"1983",0.901789776464655,1.41991841753813,0.887071609189218,NA,1.18625226860254,1.57823950340547,1.63877753668493,0.985333246803816,0.41152186007113,NA,1.16492066579598,0.773792428552062,1.67610308473253
"1984",0.60407232828555,1.05730086731836,0.759240329262388,NA,0.870859800362976,1.40598327442021,1.53580228752161,0.848367836978389,0.500063336167541,NA,0.943840831411343,0.814615787042488,1.05167252375374
"1985",0.778638189481854,1.06357424158871,0.685640501425728,NA,0.922640653357532,1.56892835589275,0.915008642565555,0.995554546044519,0.506231406505975,NA,0.918331619751577,0.726452649305311,1.15026682285566
"1986",0.719121057026214,0.958470617595248,0.867703233442729,NA,0.927348003629764,1.69462884731442,1.20628149019896,1.19793627101045,0.298857805699562,NA,0.999110790007503,1.02530351374155,1.41975790706755
"1987",0.882406591068008,0.870878226528394,0.782482380158175,NA,1.01678765880218,1.2616604879731,0.817917693354419,1.09776753845155,0.302370539965757,NA,0.80354016728263,0.590808481663656,0.985942991019133
"1988",0.975147325499515,1.11469121494297,0.941303061279389,NA,1.45927858439201,1.02422622639883,1.08271119120297,0.852456356674671,0.567985638144613,NA,0.867313196432045,0.584087479311377,0.854483925549915
"1989",1.30950381970705,1.17088419172373,0.852208532845537,NA,1.35100952813067,1.08474868523149,0.744363943952043,0.962846388474268,0.441800149953022,NA,0.888570872815183,0.774348175803345,1.16341272940258
"1990",1.49234026042836,1.11262903380756,1.04976596545973,0.951964931853248,1.03090970961887,1.08009311147513,1.06211614137031,0.695048348367837,0.848578936873086,NA,1.09264456609331,0.631780716235381,1.38032018742679
"1991",1.33482867033463,1.11893884919362,0.941303061279389,0.696100283617881,1.01678765880218,1.08474868523149,1.02975249163326,0.750243364267636,0.722194257859556,0.690315681071018,1.06288381915692,0.652238823012337,1.0582454770272
"1992",0.844709504380669,1.16932359792129,0.968418787324474,1.09252360615357,0.997958257713249,1.14527114406414,1.29748813945791,1.01395288467779,0.501656531225853,0.87051109722903,1.00761386056076,0.733856541058341,1.22256930886373
"1993",1.16673990900223,1.21093042204011,0.945176736428687,1.24538807396779,1.41691243194192,1.31287179929304,1.13566989077268,0.768641702900902,0.92131811712516,0.928049443570887,1.05863228388029,0.645599264731023,1.46576857998178
"1994",1.14186310707185,1.3143163056936,0.832840157099048,1.02789919145764,1.39337568058076,0.996292783860678,1.02092604170498,0.650074631708742,1.39557950343568,1.09114008157276,1.16066913051935,0.815591482823228,1.07139138357412
"1995",1.20912229683955,1.18540808367887,0.991660838220262,1.2871068673226,1.79350045372051,1.47116130700923,1.07682689125078,0.742066324875073,1.45592308982729,0.960597844294259,1.33498207686109,0.77490472191742,1.597227645451
"1996",0.637085602529151,1.33006175476657,1.03039758971324,1.07693307124383,1.72289019963702,1.23372704543495,1.15920709058144,0.676650009734571,1.75393469819475,0.878391020723625,1.18617834217912,1.10811054258577,1.61037355199792
"1997",0.510762364120653,1.04798235013927,1.04589229031043,1.09737951821616,1.49223003629764,1.29890507802397,1.15920709058144,0.811571159711857,1.62636859213409,1.1100173449157,1.35623975324423,0.877075996047371,1.53149811271639
"1998",0.604698477410119,0.907037731621648,0.972292462473772,1.01898547372187,1.64757259528131,1.28493835675489,1.01209959177669,0.723667986241807,1.15817707655499,0.912728004772214,1.03312307222052,0.62558651884172,1.54464401926331
"1999",0.668865182874964,0.922124812707743,1.22020767202884,1.10716110803722,1.50635208711434,1.11268212776964,0.90029789268508,1.24904276721397,0.924779475727475,1.05340243352862,1.21168755383889,0.945292907263258,1.45262267343486
"2000",0.584631318286724,0.960801719430575,1.26281809867111,0.902810594706231,1.27098457350272,1.37804983188206,0.90029789268508,0.895385813485625,2.15951999076767,1.30218514822144,0.761024814516353,0.856986924129738,1.93902121567096
