"","TG_T10i","TG_T11i","TG_T12r","TG_T13i","TG_T14r","TG_T15r","TG_T17r","TG_T18i","TG_T19r","TG_T1r","TG_T20i","TG_T2i","TG_T3r","TG_T4i","TG_T6i","TG_T8i","TG_T9r"
"1891",1.20561029887595,NA,NA,NA,NA,1.12104026009453,NA,NA,1.28325489571412,NA,NA,1.12119196487961,NA,NA,0.889814581964398,NA,NA
"1892",1.06888574744843,NA,NA,NA,NA,1.02858793275499,NA,NA,0.872796690058862,NA,NA,1.14979380071837,NA,NA,1.1239453584144,NA,NA
"1893",0.704769888994317,NA,NA,NA,NA,0.639122195601191,NA,NA,0.736232775820941,NA,NA,0.31462019422642,NA,NA,0.709956233643992,NA,NA
"1894",1.02115812806087,NA,NA,NA,NA,0.760253494253141,NA,NA,0.940761760642873,NA,NA,0.326060928561926,NA,NA,1.13588856969562,NA,NA
"1895",1.0415811458342,NA,NA,NA,NA,0.893662446409933,NA,NA,0.684605745804431,NA,NA,0.343222030065186,NA,NA,1.01815223427014,NA,NA
"1896",1.05219444579646,NA,NA,NA,NA,0.764875826940802,NA,NA,0.921802595463347,NA,NA,0.491951576426766,NA,NA,1.17610166104531,NA,NA
"1897",1.14283194350614,NA,NA,NA,NA,0.959693228188892,NA,NA,0.699186270993132,NA,NA,0.617799654117334,NA,NA,1.25516824948923,NA,NA
"1898",1.25347151171879,NA,NA,NA,NA,1.00425659826634,NA,NA,0.867280894746098,NA,NA,0.846614340827458,NA,NA,1.10364839931287,NA,NA
"1899",1.0275113013709,NA,NA,NA,NA,0.994453325607823,NA,NA,0.718336763386926,NA,NA,0.549155248104297,NA,NA,1.04576965698529,NA,NA
"1900",0.709764918658554,NA,NA,NA,NA,0.973439191668938,NA,NA,0.752060913940671,NA,NA,0.657842224291606,NA,NA,1.18690885773125,NA,NA
"1901",0.739381154141177,NA,NA,NA,NA,1.00780511224888,NA,NA,1.07086976948616,NA,NA,0.915258746840495,NA,NA,1.2051364738816,NA,NA
"1902",0.660563666123843,NA,NA,NA,NA,1.12669788216346,NA,NA,0.971448942540064,0.939438886609651,NA,0.800851403485433,NA,NA,1.2330439093422,NA,NA
"1903",0.704398403801912,NA,NA,NA,NA,0.874718472297563,NA,NA,0.911382959492233,1.05494366775018,NA,0.709325528801384,NA,NA,1.12687212704811,NA,NA
"1904",0.688562356855439,NA,NA,NA,NA,0.897698985200437,NA,NA,0.993050089638405,1.07419446460694,NA,0.949580949847013,NA,NA,1.21243955680703,NA,NA
"1905",0.797666322384738,NA,NA,NA,NA,0.898095136128985,NA,NA,1.07436804858725,1.18199892700477,NA,0.886656911001729,NA,NA,1.26961768344994,NA,NA
"1906",0.700867255692453,NA,NA,NA,NA,0.76601188174098,NA,NA,1.01713587817075,0.908637611638842,NA,0.858055075162964,NA,NA,1.06077651439056,NA,NA
"1907",0.790296087542365,NA,NA,NA,NA,0.632097100461906,NA,NA,1.26790902837815,1.20509988323287,NA,0.79513103631768,NA,NA,1.02548602251335,NA,NA
"1908",0.915881691985176,NA,NA,NA,NA,0.910893768561223,NA,NA,1.42750842960335,1.43610944551393,NA,0.669282958627112,NA,NA,0.975325929246172,NA,NA
"1909",0.899182703116264,NA,NA,NA,NA,0.893686275308563,NA,NA,1.22150847653401,1.17044844889071,NA,0.818012504988692,NA,NA,1.09119440771604,0.897274145887978,NA
"1910",0.779512133569768,NA,NA,NA,NA,0.959108097964993,NA,NA,1.44654793857466,1.21280020197557,NA,0.692164427298124,NA,NA,1.10474571153173,0.801819449516916,NA
